tx_gain_db,ser_64qam_mf,ser_256qam_mf,ser_64qam_rc_no_mf,ser_256qam_rc_no_mf
-50,0.961,0.935,0.9780000000000001,0.993
-49,0.813333,0.902333,0.9383333333333334,0.9956666666666667
-48,0.798333,0.904667,0.9796666666666667,0.9899999999999999
-47,0.639,0.889333,0.973,0.9826666666666667
-46,0.576667,0.841667,0.9156666666666666,0.9846666666666666
-45,0.610667,0.808667,0.9316666666666666,0.9946666666666667
-44,0.493667,0.78,0.9700000000000001,0.9540000000000001
-43,0.399,0.770333,0.8146666666666667,0.9503333333333334
-42,0.401333,0.686,0.836,0.9863333333333334
-41,0.255667,0.653667,0.6626666666666666,0.9369999999999999
-40,0.178,0.559333,0.621,0.9326666666666666
-39,0.102333,0.52,0.622,0.88
-38,0.048667,0.463667,0.47500000000000003,0.8536666666666667
-37,0.029667,0.383,0.41733333333333333,0.8330000000000001
-36,0.028333,0.284667,0.3466666666666667,0.8023333333333333
-35,0.012333,0.184333,0.2953333333333333,0.8426666666666667
-34,0.003,0.213,0.24433333333333332,0.7313333333333333
-33,0.001,0.166333,0.16466666666666666,0.6683333333333333
-32,0.003333,0.133667,0.09666666666666668,0.5946666666666666
-31,0.021,0.146333,0.07833333333333335,0.5459999999999999
-30,0.004,0.073,0.050333333333333334,0.5343333333333332
-29,0.0,0.067333,0.02333333333333333,0.43966666666666665
-28,0.0,0.058333,0.010666666666666666,0.3673333333333333
-27,0.0,0.022333,0.007666666666666666,0.289
-26,0.0,0.013,0.005333333333333333,0.235
-25,0.0,0.03,0.0016666666666666668,0.17200000000000001
