tx_gain_db,ser_64qam_mf,ser_256qam_mf
-50,0.941,0.915
-49,0.9090000000000001,0.9233333333333335
-48,0.9096666666666667,0.924
-47,0.8513333333333334,0.8563333333333333
-46,0.7923333333333332,0.8333333333333334
-45,0.797,0.8093333333333333
-44,0.7583333333333333,0.765
-43,0.612,0.7229999999999999
-42,0.4606666666666667,0.6533333333333334
-41,0.349,0.5676666666666667
-40,0.23199999999999998,0.5173333333333333
-39,0.13599999999999998,0.4156666666666667
-38,0.05399999999999999,0.36133333333333334
-37,0.018,0.3426666666666667
-36,0.008,0.21766666666666667
-35,0.0016666666666666668,0.13233333333333333
-34,0.021666666666666667,0.11633333333333333
-33,0.001,0.09399999999999999
-32,0.0,0.07766666666666668
-31,0.0006666666666666666,0.03
-30,0.0013333333333333333,0.024333333333333332
-29,0.0,0.019
-28,0.0,0.012000000000000002
-27,0.0,0.014333333333333332
-26,0.0,0.005666666666666667
-25,0.0,0.007666666666666666
